input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
0.1,1.37394695944,0.1,0.05,4.01918440915
0.3,1.72028491893,0.1,0.05,4.62832510915
0.5,2.03073243099,0.1,0.05,3.15441506671
0.7,2.93470501551,0.1,0.05,9.45155396909
0.9,3.17415287051,0.1,0.05,4.83409227848
0.1,1.24139930163,0.3,0.05,4.37408377499
0.3,1.56148517517,0.3,0.05,4.30317182029
0.5,1.86498360303,0.3,0.05,2.5673910488
0.7,2.9046588585,0.3,0.05,7.56340435613
0.9,3.1388113906,0.3,0.05,2.7325280999
0.1,1.20318048151,0.5,0.05,5.06426504557
0.3,1.51487968543,0.5,0.05,5.06234128778
0.5,1.81266255096,0.5,0.05,3.29296183031
0.7,2.86501707133,0.5,0.05,7.76030784667
0.9,3.11817404119,0.5,0.05,3.06690774587
0.1,1.17915419409,0.7,0.05,5.55219110718
0.3,1.47676035201,0.7,0.05,5.92458747105
0.5,1.7972795488,0.7,0.05,3.95900436159
0.7,2.83946990715,0.7,0.05,8.43508953216
0.9,3.14730097865,0.7,0.05,3.442444514
0.1,1.17371367882,0.9,0.05,5.79495689703
0.3,1.49565433799,0.9,0.05,6.63737741648
0.5,1.80280676101,0.9,0.05,4.44581429349
0.7,2.89460463866,0.9,0.05,8.59757416197
0.9,3.13800861244,0.9,0.05,4.00334966679
